업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
춘천전통69닭갈비,"서울특별시 강서구 송정로 64, 1층 (공항동)",한식,닭갈비,76.61,공항동,226634975
강서복집,"서울특별시 강서구 공항대로59길 8, 우현빌딩 1~2층 (등촌동)",복어취급,복지리,287.51,등촌제1동,236616672
(주)더벨즈,"서울특별시 강서구 양천로60길 19, 강영빌딩 지하1층, 지상2층 (등촌동)",한식,뷔페,460.3,등촌제1동,226648080
등촌샤브칼국수,"서울특별시 강서구 강서로56가길 65, 아트빌딩 2층 (등촌동)",한식,칼국수,168.55,등촌제3동,226599318
대박감자탕,"서울특별시 강서구 곰달래로 255, 1층 (화곡동)",한식,감자탕,153.95,화곡제4동,226420555
애슐리퀸즈 롯데백화점 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 5층 (방화동)",뷔페식,"초밥, 그릴, 샐러드",823,방화제2동,261163553
주식회사 이랜드이츠 반궁NC강서점,"서울특별시 강서구 강서로56길 17, 엔씨백화점 9층 (등촌동)",한식,"고등어구이, 제육볶음, 묵은지찌개",209.35,등촌제3동,226679860
애슐리퀸즈 NC 강서점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",뷔페식,샐러드바,754.05,등촌제3동,226679804
베이징화곡본점,"서울특별시 강서구 화곡로 118, 베이징정 2~4층 (화곡동)",중국식,전가복,818.91,화곡제1동,226997275
만석장 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항 롯데몰 지하 1층 (방화동)",한식,두부한정식,159.14,방화제2동,261165000
온더보더 롯데몰김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하2층 (방화동)","외국음식전문점(인도,태국등)",타코,359.55,방화제2동,261165182
콩쥐가 기르고 팥쥐가 요리하는 고깃집,"서울특별시 강서구 강서로 349, 2층 22호 (내발산동)",식육(숯불구이),삼겹살,132.23,발산제1동,
함평해장,"서울특별시 강서구 마곡동로 55, 1층 103호 (마곡동, 가양 1동 마커스빌딩)",한식,"냉면, 갈비찜",241.52,가양제1동,220847000
주식회사 딘타이펑코리아,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 B2층 (방화동)",중국식,？섶,300.01,방화제2동,261165537
새벽집,"서울특별시 강서구 양천로 401, A동 2층 206호 (가양동, 1동 강서한강자이타워)",한식,순두부,108.25,가양제1동,226385787
초애삼계탕마곡점,"서울특별시 강서구 공항대로 205, 에스에이치빌딩 3층 304~305호 (마곡동)",한식,삼계탕,171.82,가양제1동,236637767
(주)이춘복참치발산역점,"서울특별시 강서구 공항대로 287, 화인빌딩 1층 (등촌동)",일식,일품참치,680.7,등촌제3동,236624558
샤브미 강서점,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",한식,샤브샤브,334,등촌제1동,236648383
해탄 발산본점,"서울특별시 강서구 마곡중앙6로 85, 2층 201호 (마곡동, 가양 1동 마곡사이언스파크뷰)",한식,갈락찜,197.88,가양제1동,226597577
감성9091,"서울특별시 강서구 공항대로 345, 2층 (등촌동)",감성주점,돼지고기,481.91,등촌제3동,
명량,"서울특별시 강서구 양천로 401, A동 2층 210호 (가양동, 1동 강서한강자이타워)",한식,고등어조림,95.9,가양제1동,226385848
주식회사 갓텐코리아 갓텐스시롯데몰김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하2층 (방화동)",일식,초밥,329.2,방화제2동,261165755
토끼정 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하1층 (방화동)",일식,우동,158.77,방화제2동,261165477
태풍참치,"서울특별시 강서구 공항대로 261, 발산파크프라자 2층 207호 (마곡동)",일식,참치모듬회,141.12,가양제1동,236633753
메이탄,"서울특별시 강서구 강서로 242, 상가동 2층 215호 (화곡동, 강서힐스테이트)",중국식,양장피,197.04,우장산동,226998686
남다른 감자탕,"서울특별시 강서구 금낭화로 29, 달성빌딩 1층 (방화동)",한식,감자탕,231.5,방화제2동,226642110
백제원 등촌점,"서울특별시 강서구 공항대로 367, 백제원도쿄오백년장어 3층 (등촌동)",한식,갈비찜,729.26,등촌제3동,226684114
대청마루,"서울특별시 강서구 하늘길 38, 김포공항 국제선 3층 (방화동)",기타,김치찌개,570,공항동,7049479859
하늘찬,"서울특별시 강서구 하늘길 38, 3층 (방화동, 2동 김포공항 국제선청사 동관)",한식,갈비찜,288,방화제2동,7049479855
생어거스틴 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이파크 지하1층 (방화동)","외국음식전문점(인도,태국등)",뿌팟봉커리,200,방화제2동,261165832
맹순이꽃게 아구전문점,"서울특별시 강서구 공항대로 272, 하바나빌딩 2층 (내발산동)",한식,"꽃게찜, 아구찜",331.9,발산제1동,236616570
(주)농심 코코이찌방야 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하2층 (방화동)",일식,카레,99.54,방화제2동,261165702
(유)아웃백스테이크하우스코리아 공항점,"서울특별시 강서구 마곡중앙6로 16, 마곡지엠지타워 3층 301호 (마곡동)",경양식,스테이크,570.87,가양제1동,220548365
강서 명동전가,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 1동 홈플러스강서점)",한식,칼국수,126.5,등촌제1동,236659886
임진강민물장어,"서울특별시 강서구 양천로 723, 1층 (염창동)",한식,장어,117.27,염창동,236637900
메이필드 큐(MAYFIELD KEW),"서울특별시 강서구 방화대로 94, 메이필드호텔 A동 1층 (외발산동)",경양식,파스타,256,발산제1동,226609040
꽃향기 샤브샤브 뷔페,"서울특별시 강서구 화곡로 142, 3층 301호 (화곡동, 1동 메가박스)",한식,샤브샤브,483.11,화곡제1동,231440501
보타닉파크웨딩,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 지하2층 205호 (마곡동)",뷔페식,뷔페,2855.92,가양제1동,226581900
캐슬 테라스(Castle Terrace),"서울특별시 강서구 방화대로 94, 메이필드호텔 1층 (외발산동)",경양식,뷔페,508.27,발산제1동,226609030
(주)닥터로빈 강서지점,"서울특별시 강서구 공항대로 396, (주)귀뚜라미보일러사옥빌딩 1층 (화곡동)",경양식,"파스타, 피자",406.33,화곡제6동,226933100
봉래헌(蓬萊軒),"서울특별시 강서구 방화대로 94, 메이필드호텔 1동 1층 (외발산동)",한식,한정식,429,발산제1동,226609020
로운 NC강서점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",한식,뷔페,481.6,등촌제3동,226679779
공항칼국수,"서울특별시 강서구 공항대로 18-1, 지하 1층 (공항동, 이스카이오피스텔)",한식,칼국수,388.27,공항동,226649748
장위동 유성집,"서울특별시 강서구 마곡중앙6로 16, 2층 201호 (마곡동, 가양 1동 마곡지엠지타워)",한식,한우등심,149.08,가양제1동,236619807
낙원(樂源),"서울특별시 강서구 방화대로 94, 메이필드호텔 1층 (외발산동)",한식,갈비,614.69,발산제1동,226609010
해녀장,"서울특별시 강서구 강서로54길 49, 신영빌딩 1층 (등촌동)",한식,생삼겹살,152.3,등촌제3동,236639233
한우리김포점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하2층 (방화동)",한식,샤브샤브,231.18,방화제2동,02512 3103
주식회사 명가원설농탕,"서울특별시 강서구 강서로 195, 1층 (화곡동, 3동)",한식,설농탕,195,화곡제3동,226930055
취락한방능이백숙,"서울특별시 강서구 화곡로53길 7-8, 1층 (화곡동)",한식,능이백숙,92.58,화곡제6동,226028478
설악추어탕,"서울특별시 강서구 금낭화로 105, 1층 (방화동, 1동)",한식,추어탕,198.36,방화제1동,226629992
대가원,"서울특별시 강서구 공항대로 209, 4층 401~405호 (마곡동)",한식,생등심,355.61,가양제1동,236623902
