식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그
대성푸드빌,금천구,N,N,N,N,N,모범음식점
어부횟집,송파구,N,N,N,N,N,모범음식점
한우명작 불곰,강서구,Y,N,N,Y,Y,"모범음식점,안심식당"
다니엘스키친,관악구,Y,Y,N,N,N,"모범음식점,안심식당"
삼풍숯불갈비,영등포구,Y,N,N,Y,Y,모범음식점
능이버섯백숙,영등포구,N,N,N,Y,N,모범음식점
한옥집 김치찜,서대문구,Y,Y,N,Y,N,"모범음식점,안심식당,포장가능"
안흥갈비,동대문구,Y,N,N,N,N,포장가능
어사랑,중구,N,N,N,N,N,
압구정하루,강남구,Y,Y,N,Y,Y,"트립어드바이저,포장가능"
참복집,중구,N,N,N,N,N,모범음식점
69춘천닭갈비,강서구,Y,N,N,Y,N,"모범음식점,안심식당,트립어드바이저"
한옥,종로구,N,Y,N,N,N,"모범음식점,안심식당"
태평양일식 별관,서초구,N,N,N,N,N,"모범음식점,트립어드바이저"
동해,중구,N,N,N,N,N,"모범음식점,씨트립"
파리바게뜨,영등포구,N,N,N,N,N,
이남장,용산구,Y,N,N,N,Y,"모범음식점,포장가능"
동해,강남구,N,N,N,N,N,
보쌈마을,강남구,N,N,N,N,N,모범음식점
놀부부대찌개,구로구,N,N,N,Y,N,"모범음식점,안심식당"
보스라멘,용산구,Y,Y,N,N,Y,모범음식점
화기애애,강남구,N,Y,N,N,N,모범음식점
동해도스시,영등포구,Y,Y,N,N,Y,"모범음식점,안심식당"
한우리,강서구,N,N,N,N,N,"모범음식점,안심식당"
궁원복집,구로구,N,N,N,N,N,"모범음식점,안심식당"
신마포갈매기,강남구,N,N,N,Y,N,
좋은생고기 정육식당,송파구,Y,N,N,N,Y,모범음식점
농부보쌈,중랑구,Y,Y,N,N,N,모범음식점
황제마라탕&양꼬치,송파구,N,N,N,N,N,모범음식점
코다리명가,관악구,N,Y,N,N,N,"모범음식점,안심식당,포장가능"
양촌리,도봉구,N,N,N,Y,N,"모범음식점,안심식당"
가빈 커피(GABEAN cafe),서대문구,N,N,N,N,N,모범음식점
토리광,은평구,N,N,N,N,N,
남도구들 한정식,강남구,Y,Y,N,N,Y,모범음식점
잘차려진바다,중구,N,N,N,N,N,포장가능
우리집생고기,은평구,N,N,N,N,Y,모범음식점
무등산닭한마리,광진구,N,N,N,N,N,모범음식점
100년 서서갈비,강북구,Y,Y,N,N,Y,모범음식점
국가대패,서대문구,N,Y,N,N,Y,"모범음식점,포장가능"
또와,성동구,N,N,N,N,N,모범음식점
동인동,서초구,N,N,N,N,N,
해담촌,관악구,N,N,N,N,N,"모범음식점,안심식당"
쏙하노이,용산구,N,N,N,N,N,
순천식당,양천구,N,N,N,N,N,"모범음식점,안심식당"
인생닭강정,송파구,N,N,N,N,N,모범음식점
소담,동작구,N,N,N,N,N,모범음식점
접시고기,양천구,Y,Y,N,N,Y,"모범음식점,안심식당"
달그닭,송파구,N,N,N,N,N,포장가능
냉삼둘리,노원구,Y,N,N,N,Y,
자연별곡,강서구,N,N,N,N,N,
찜샤브,송파구,N,N,N,N,N,모범음식점
백암왕순대,서대문구,Y,N,N,N,N,모범음식점
고향반점,광진구,N,N,N,N,N,"모범음식점,안심식당"
민소한우,영등포구,Y,Y,N,Y,Y,"모범음식점,안심식당,포장가능"
마포갈비,강남구,N,N,N,Y,N,
신의주찹쌀순대전문점,강남구,N,N,N,N,N,트립어드바이저
한일,종로구,N,N,N,N,N,트립어드바이저
송림식당,광진구,Y,N,N,Y,N,모범음식점
은성,용산구,N,N,N,Y,N,"모범음식점,블루리본"
신금호마포숯불갈비,성동구,N,Y,N,Y,N,모범음식점
삼원가든,강남구,N,N,N,N,Y,"미쉐린 가이드,블루리본,트립어드바이저"
강강술래,관악구,Y,Y,N,N,Y,"모범음식점,안심식당,포장가능"
태림산채정식,도봉구,Y,Y,N,N,N,"모범음식점,안심식당"
대문,도봉구,Y,N,N,N,Y,모범음식점
동해복집,노원구,N,N,N,Y,N,모범음식점
호아빈,중구,N,N,N,N,N,모범음식점
만나 칼국수,관악구,Y,N,N,Y,N,"모범음식점,안심식당"
옛골토성,은평구,Y,N,N,N,Y,"모범음식점,안심식당,포장가능"
미유끼,서초구,N,N,N,Y,N,모범음식점
킹랍스타,영등포구,N,N,N,N,N,"모범음식점,안심식당,트립어드바이저"
해태식당,관악구,Y,N,N,Y,N,"모범음식점,블루리본,안심식당"
성북동섭지코지,성북구,Y,N,N,N,N,"모범음식점,블루리본,씨트립"
이얼싼,은평구,N,N,N,N,N,안심식당
금홍,용산구,N,N,N,N,N,
경스시,강남구,N,N,N,N,N,
골목냉면,성동구,N,N,N,N,N,모범음식점
파티대통령,광진구,N,N,N,Y,N,모범음식점
남서울민물장어,강남구,N,N,N,Y,N,"모범음식점,블루리본"
깊은맛 남원추어탕,송파구,Y,N,N,Y,N,모범음식점
대우부대찌개,강남구,N,N,N,N,N,"모범음식점,블루리본,트립어드바이저"
뚱뚱이 할머니집,중구,N,N,N,N,N,포장가능
바다식당,용산구,N,N,N,N,N,"모범음식점,블루리본"
연희동 영월,서대문구,N,N,N,Y,N,모범음식점
그랑아,강남구,Y,N,N,Y,N,트립어드바이저
낙산냉면,종로구,N,Y,N,N,N,모범음식점
압구정 샤브샤브,강남구,Y,Y,N,Y,N,"모범음식점,씨트립"
신정,강남구,Y,N,N,Y,Y,"모범음식점,블루리본"
야래향,중구,Y,N,N,N,N,
열해,용산구,N,N,N,N,N,"모범음식점,씨트립"
토담골,강남구,N,N,N,Y,N,모범음식점
우리강산,송파구,Y,Y,N,N,Y,모범음식점
한우리,강남구,Y,N,N,N,Y,"모범음식점,블루리본,트립어드바이저,포장가능"
광양불고기,양천구,N,N,N,N,N,"모범음식점,안심식당"
산야로콩나물국밥,관악구,N,N,N,N,Y,"모범음식점,안심식당,트립어드바이저"
강원정,용산구,N,N,N,N,N,모범음식점
연희동칼국수,서대문구,N,N,N,Y,N,모범음식점
미우미우,송파구,Y,N,N,N,N,"모범음식점,트립어드바이저"
동북화과왕,종로구,N,N,N,N,N,블루리본
신가예촌,서초구,Y,Y,N,N,Y,
솔나무길된장예술,종로구,N,N,N,N,N,모범음식점
대한민국,강남구,Y,Y,N,N,Y,모범음식점
바다목장바닷가재,중랑구,N,N,N,Y,N,"모범음식점,안심식당"
군산복집,성동구,N,N,N,N,N,모범음식점
조마루감자탕,성북구,Y,N,Y,N,N,포장가능
빕스,강남구,Y,N,N,Y,Y,"모범음식점,포장가능"
어반가든,중구,Y,Y,N,N,Y,"모범음식점,블루리본"
삼백돈돈가츠,관악구,N,Y,N,N,Y,"모범음식점,안심식당,포장가능"
왕돈까스&왕냉면,은평구,N,N,N,N,N,모범음식점
연화산,강남구,N,N,N,N,N,모범음식점
루위,강남구,Y,Y,N,N,Y,모범음식점
유진참치,은평구,N,N,N,N,N,"모범음식점,안심식당"
등푸른집,중구,N,N,N,N,N,
상도늘보리,동작구,Y,Y,N,Y,Y,"모범음식점,안심식당,포장가능"
연안식당,송파구,Y,Y,N,N,Y,"모범음식점,트립어드바이저,포장가능"
킹콩부대찌개,양천구,N,Y,N,N,Y,모범음식점
전자방,성동구,N,N,N,N,N,모범음식점
금강산,송파구,N,N,N,N,N,모범음식점
지인고기,송파구,Y,Y,N,N,Y,"모범음식점,포장가능"
맛있는집,성북구,N,N,N,N,N,
라그릴리아,송파구,Y,Y,N,N,Y,"모범음식점,포장가능"
은평한우곱창,은평구,N,N,N,N,N,"모범음식점,안심식당"
손가네민물장어,종로구,N,N,N,Y,N,"모범음식점,안심식당"
교담집,양천구,Y,Y,N,N,Y,"모범음식점,안심식당"
해바라기 정육식당,구로구,N,N,N,N,N,
진주식당,동작구,Y,Y,N,N,Y,모범음식점
뚱보식당,성동구,N,N,N,N,N,
샤브플러스,강동구,N,Y,N,N,Y,"모범음식점,씨트립,트립어드바이저"
신촌설렁탕,강남구,N,N,N,N,N,모범음식점
막,강남구,N,N,N,Y,N,
배영만당진아구,관악구,Y,Y,N,N,N,"모범음식점,안심식당,포장가능"
신기소,송파구,N,N,N,N,N,모범음식점
돈에뜰,용산구,N,N,N,Y,N,모범음식점
몽촌 감자탕 부대찌개,송파구,N,N,N,N,N,모범음식점
아차산닭국수,광진구,N,N,N,N,Y,모범음식점
동경야시장,서초구,N,Y,Y,N,N,모범음식점
캘리포니아피자키친,강서구,N,N,N,N,N,"모범음식점,안심식당,포장가능"
신안바다장어구이,관악구,N,N,N,N,N,"모범음식점,안심식당"
전가네 참숯갈비 고기한쌈,송파구,Y,N,N,N,Y,모범음식점
오징어 세상,서대문구,N,N,N,N,N,모범음식점
화로구이,성동구,Y,Y,N,Y,Y,포장가능
장산곶,서초구,N,N,N,N,N,모범음식점
봉추찜닭,서대문구,N,Y,N,Y,Y,"모범음식점,안심식당,포장가능"
명태랑족발이랑,관악구,N,N,N,Y,N,"모범음식점,안심식당"
계백집,강북구,N,N,N,N,N,모범음식점
정성본샤브수끼칼국수,강남구,Y,Y,N,Y,Y,"모범음식점,씨트립"
남순남순대국,강남구,Y,N,N,Y,N,"모범음식점,블루리본,택배가능,포장가능"
소문난감자탕해장국,노원구,Y,N,N,N,N,모범음식점
춘향골,서대문구,N,N,N,N,N,
푸른바다세꼬시,강남구,N,N,N,Y,Y,
천외천,동작구,Y,N,N,N,N,"모범음식점,씨트립"
향나무세그루,종로구,Y,N,N,N,N,"모범음식점,안심식당,트립어드바이저"
낙성곱창,관악구,Y,N,N,Y,N,"모범음식점,안심식당"
신우정,노원구,N,N,N,Y,N,모범음식점
함흥곰보냉면,종로구,Y,N,N,N,Y,"모범음식점,안심식당,트립어드바이저"
아리차이,관악구,Y,N,N,N,N,"모범음식점,안심식당"
차이797 플러스,강서구,Y,N,N,Y,Y,"모범음식점,안심식당"
대평갈비,종로구,Y,Y,N,N,Y,"모범음식점,안심식당"
원조 할머니 두부집,종로구,Y,Y,N,N,Y,모범음식점
타워차이,강남구,Y,Y,N,N,Y,"모범음식점,블루리본,트립어드바이저"
가조고향마을,서초구,Y,Y,N,Y,Y,"모범음식점,안심식당,트립어드바이저"
아이러브신당동,중구,Y,N,N,N,N,"모범음식점,씨트립"
페르시안궁전,종로구,Y,Y,N,N,Y,"모범음식점,안심식당"
선조네 우렁쌈밥 제주흑돼지,은평구,Y,N,N,N,N,"모범음식점,안심식당"
김씨네 돌솥밥순두부,송파구,Y,N,N,N,N,"모범음식점,트립어드바이저"
사리원,강남구,Y,N,N,Y,N,모범음식점
군산오징어,송파구,Y,N,N,N,Y,"모범음식점,블루리본,포장가능"
본가아귀찜,강북구,N,N,N,Y,N,모범음식점
홈수끼,송파구,Y,Y,N,N,Y,모범음식점
일식호림,송파구,N,N,N,N,N,모범음식점
남한강다슬기해장국,송파구,Y,N,N,N,N,모범음식점
