업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
장군보쌈,"서울특별시 서대문구 수색로 28-5, (남가좌동)",한식,보쌈,88.54,남가좌제1동,
고기랑,"서울특별시 서대문구 연세로5다길 16, 1층 (창천동)",일식,낙지전골,77.55,신촌동,
한옥그레이스,"서울특별시 서대문구 통일로9안길 28-5, (충정로2가)",한식,산채비빔밥,96.85,충현동,
한옥그레이스,"서울특별시 서대문구 통일로9안길 28-5, (충정로2가)",한식,,96.85,충현동,
청송면옥,"서울특별시 서대문구 연희맛로 6, (연희동)",분식,냉면,83.78,연희동,
청송면옥,"서울특별시 서대문구 연희맛로 6, (연희동)",분식,한식,83.78,연희동,
백암,"서울특별시 서대문구 증가로 13-6, (연희동)",한식,순대국,110.94,연희동,
고기랑,"서울특별시 서대문구 연세로5다길 16, 1층 (창천동)",일식,한식,77.55,신촌동,
살빼고,"서울특별시 서대문구 북아현로 68, (북아현동)",한식,도가니탕,64.6,충현동,
살빼고,"서울특별시 서대문구 북아현로 68, (북아현동)",한식,한식,64.6,충현동,
한옥그레이스,"서울특별시 서대문구 통일로9안길 28-5, (충정로2가)",한식,삼겹살,96.85,충현동,
삼호복집,"서울특별시 서대문구 연세로5다길 10, (창천동,(지상2,3층))",한식,복매운탕,357.17,신촌동,
봉추찜닭 신촌점,"서울특별시 서대문구 명물길 27-23, (창천동,(지하1층~지상1층))",경양식,찜닭,70.56,신촌동,
산천마루 누룽지백숙 삼계탕 간장게장,"서울특별시 서대문구 세검정로1길 21, 1~2층 (홍은동)",한식,,221,홍은제1동,
원마산아구찜 홍제점,"서울특별시 서대문구 통일로 387, (홍제동,(지상1층))",한식,,95.97,홍제제1동,
이동갈비,"서울특별시 서대문구 연세로12길 22, (창천동,,3)",한식,,118.8,신촌동,
왔다 산아나고구이,"서울특별시 서대문구 응암로1길 4, (북가좌동)",한식,,122.62,북가좌제2동,
벌떡 장어,"서울특별시 서대문구 연희로 213, (연희동)",분식,,32.9,연희동,
시골칼국수,"서울특별시 서대문구 충정로5길 2, (충정로3가, 2층)",한식,,113.16,충현동,
무안갯벌낙지,"서울특별시 서대문구 응암로1길 3, (북가좌동)",한식,,145,북가좌제1동,
본가서대문족발,"서울특별시 서대문구 충정로 59, 101호 (충정로2가, 서대문디오빌)",한식,,146.2,충현동,
최고집바지락생칼국수,"서울특별시 서대문구 응암로 59, (북가좌동)",한식,,82.5,북가좌제1동,
서대문아구찜,"서울특별시 서대문구 연희로 271, 지상2층 (홍은동)",한식,,134,홍은제2동,
연대북문 우리집,"서울특별시 서대문구 연희로26길 23, (연희동)",,,83.6,연희동,
육쌈냉면(신촌점),"서울특별시 서대문구 연세로 19, (창천동, 지하1층)",한식,,154.38,신촌동,
풍년갈비,"서울특별시 서대문구 통일로 495, (홍은동,,92-3)",한식,돼지갈비,51.89,홍은제2동,
봉평 옹심이 메밀 막국수,"서울특별시 서대문구 응암로 89, 1층 (북가좌동)",경양식,,61.63,북가좌제2동,
연희김밥,"서울특별시 서대문구 연희로11가길 2, (연희동)",분식,,15.54,연희동,
목포세발낙지,"서울특별시 서대문구 통일로 451-39, (홍제동)",한식,,72.79,홍제제1동,
스시마쯔,"서울특별시 서대문구 연희로 166, 1층 (연희동)",일식,,89.1,연희동,
신촌형제갈비,"서울특별시 서대문구 명물1길 2, (창천동,(지상5층))",한식,,403.88,신촌동,
모래내설농탕,"서울특별시 서대문구 모래내로 271, 1층 (홍은동)",한식,,276,홍은제2동,
노다지,"서울특별시 서대문구 충정로11길 8, 지층 (충정로2가)",한식,,179.83,충현동,
짚불집,"서울특별시 서대문구 연희로8길 5-3, 지상1~2층 (연희동)",한식,,219.8,연희동,
세양원,"서울특별시 서대문구 충정로 8, 지하1층 (충정로3가)",중국식,,210.14,충현동,
흥부전,"서울특별시 서대문구 통일로 474, 1층 (홍제동)",호프/통닭,,82.98,홍제제3동,
연희 화로,"서울특별시 서대문구 모래내로 376, 지1층 (연희동, 제니스APT)",한식,,379,연희동,
장모님 국수랑전,"서울특별시 서대문구 가재울미래로 2, 상가221동 1층 101-2호 (남가좌동, DMC파크뷰자이)",한식,,46.42,남가좌제1동,
수빈떡갈비,"서울특별시 서대문구 연희로25길 31-3, (연희동, 1,2층)",한식,,408.62,연희동,
풍년갈비,"서울특별시 서대문구 통일로 495, (홍은동,,92-3)",한식,,51.89,홍은제2동,
김가네,"서울특별시 서대문구 신촌로 173, 1층 (대현동)",한식,,82.81,신촌동,
웅네 서서갈비,"서울특별시 서대문구 신촌역로 13-1, 1층 (대현동)",한식,,140.4,신촌동,
본전회관,"서울특별시 서대문구 수색로2길 15, (남가좌동,,30,45)",한식,돼지갈비,618.6,남가좌제2동,
본전회관,"서울특별시 서대문구 수색로2길 15, (남가좌동,,30,45)",한식,부페,618.6,남가좌제2동,
본전회관,"서울특별시 서대문구 수색로2길 15, (남가좌동,,30,45)",한식,갈비탕,618.6,남가좌제2동,
풍년갈비,"서울특별시 서대문구 통일로 495, (홍은동,,92-3)",한식,갈비탕,51.89,홍은제2동,
